,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
1296,Matson Inc.,,7,1,14%,,,HONOLULU,matson
1297,MATTEL INC /DE/,,11,4,36%,Consumer Cyclical,California,EL SEGUNDO,mattel
1298,MATTHEWS INTERNATIONAL CORP,,10,1,10%,,,PITTSBURGH,matthews international
1299,MAUI LAND & PINEAPPLE CO INC,,5,0,0%,,,MAUI,maui land  pineapple
1300,MAXIM INTEGRATED PRODUCTS INC,,8,2,25%,Technology,California,SAN JOSE,maxim integrated products
1301,MAXIMUS INC,,9,2,22%,Industrials,Virginia,RESTON,maximus
1302,MAXLINEAR INC,,6,0,0%,,,CARLSBAD,maxlinear
1303,MAXWELL TECHNOLOGIES INC,,7,0,0%,,,SAN DIEGO,maxwell technologies
1304,MB FINANCIAL INC /MD,,12,3,25%,,,CHICAGO,mb financial md
1305,MBIA INC,,10,2,20%,Financial Services,New York,PURCHASE,mbia
1306,MBT FINANCIAL CORP,,10,2,20%,,,MONROE,mbt financial
1307,MCBC Holdings Inc.,,7,0,0%,,,VONORE,mcbc holdings
1308,MCCORMICK & CO INC,,11,3,27%,Consumer Defensive,Maryland,SPARKS,mccormick 
1309,MCDERMOTT INTERNATIONAL INC,,8,1,13%,Energy,Texas,HOUSTON,mcdermott international
1310,MCDONALDS CORP,,11,3,27%,Consumer Cyclical,Illinois,OAK BROOK,mcdonalds
1311,MCGRATH RENTCORP,,7,1,14%,Industrials,California,LIVERMORE,mcgrath rentcorp
1312,MCKESSON CORP,,8,3,38%,Healthcare,California,SAN FRANCISCO,mckesson
1313,MDC HOLDINGS INC,,8,0,0%,Consumer Cyclical,Colorado,DENVER,mdc holdings
1314,MDC PARTNERS INC,,6,1,17%,,,NEW YORK,mdc partners
1315,MDU RESOURCES GROUP INC,,10,2,20%,Basic Materials,North Dakota,BISMARCK,mdu resources group
1316,MedEquities Realty Trust Inc.,,9,0,0%,,,NASHVILLE,medequities realty trust
1317,Media General Inc.,,11,2,18%,Consumer Cyclical,Virginia,Richmond,media general
1318,Medical Mutual of Ohio,,9,1,11%,Healthcare,Ohio,Cleveland,medical mutual of ohio
1319,MEDICAL PROPERTIES TRUST INC,,7,0,0%,,,BIRMINGHAM,medical properties trust
1320,MEDICINES CO /DE,,11,1,9%,,,PARSIPPANY,medicines de
1321,MEDICINOVA INC,,4,0,0%,,,LA JOLLA,medicinova
1322,Medidata Solutions Inc.,,7,0,0%,,,NEW YORK,medidata solutions
1323,MEDIFAST INC,,9,1,11%,Consumer Cyclical,Maryland,OWINGS MILLS,medifast
1324,Medivation Inc.,,8,3,38%,Healthcare,California,San Francisco,medivation
1325,MEDLEY MANAGEMENT INC.,,6,0,0%,,,NEW YORK,medley management
1326,MEDNAX INC.,,10,2,20%,Healthcare,Florida,SUNRISE,mednax
1327,Medtronic plc,,13,4,31%,Healthcare,Minnesota,DUBLIN,medtronic plc
1328,Meet Group Inc.,,6,1,17%,,,NEW HOPE,meet group
1329,MERCANTILE BANK CORP,,8,1,13%,,,GRAND RAPIDS,mercantile bank
1330,Merchants Bancshares Inc.,,11,3,27%,Financial Services,Vermont,South Burlington,merchants bancshares
1331,Merck & Co. Inc.,,13,3,23%,Healthcare,New Jersey,KENILWORTH,merck 
1332,MERCURY GENERAL CORP,,9,1,11%,Financial Services,California,LOS ANGELES,mercury general
1333,MERCURY SYSTEMS INC,,7,0,0%,Technology,Massachusetts,CHELMSFORD,mercury systems
1334,MEREDITH CORP,,8,2,25%,,,DES MOINES,meredith
1335,Meridian Bancorp Inc.,,12,3,25%,,,PEABODY,meridian bancorp
1336,MERIDIAN BIOSCIENCE INC,,6,1,17%,,,CINCINNATI,meridian bioscience
1337,MERIT MEDICAL SYSTEMS INC,,9,1,11%,,,SOUTH JORDAN,merit medical systems
1338,Meritage Homes CORP,,9,1,11%,Consumer Cyclical,Arizona,SCOTTSDALE,meritage homes
1339,MERITOR INC,,8,2,25%,Consumer Cyclical,Michigan,TROY,meritor
1340,MERRIMACK PHARMACEUTICALS INC,,9,1,11%,,,CAMBRIDGE,merrimack pharmaceuticals
1341,MESA LABORATORIES INC /CO,,7,0,0%,,,LAKEWOOD,mesa laboratories
1342,META FINANCIAL GROUP INC,,7,2,29%,,,SIOUX FALLS,meta financial group
1343,Metaldyne Performance Group Inc.,,8,0,0%,Consumer Cyclical,Michigan,Plymouth,metaldyne performance group
1344,METHODE ELECTRONICS INC,,10,2,20%,,,CHICAGO,methode electronics
1345,METLIFE INC,,11,3,27%,Financial Services,New York,NEW YORK,metlife
1346,METTLER TOLEDO INTERNATIONAL INC/,,9,1,11%,Healthcare,Ohio,COLUMBUS,mettler toledo international
1347,MFA FINANCIAL INC.,,8,2,25%,,,NEW YORK,mfa financial
1348,MGE ENERGY INC,,9,2,22%,Utilities,Wisconsin,MADISON,mge energy
1349,MGIC INVESTMENT CORP,,10,1,10%,Financial Services,Wisconsin,MILWAUKEE,mgic investment
1350,MGM Resorts International,,11,3,27%,Consumer Cyclical,Nevada,LAS VEGAS,mgm resorts international
1351,MGP INGREDIENTS INC,,9,2,22%,,,ATCHISON,mgp ingredients
1352,Michael Kors Holdings Ltd,,9,4,44%,,,LONDON,michael kors holdings
1353,Michaels Companies Inc.,,10,2,20%,Consumer Cyclical,Texas,IRVING,michaelsmpanies
1354,MICROCHIP TECHNOLOGY INC,,5,1,20%,Technology,Arizona,CHANDLER,microchip technology
1355,MICRON TECHNOLOGY INC,,7,1,14%,Technology,Idaho,BOISE,micron technology
1356,MICROSEMI CORP,,8,1,13%,Technology,California,ALISO VIEJO,microsemi
1357,Microsoft Corporation,,11,3,27%,Technology,Washington,REDMOND,microsoft
1358,MICROSTRATEGY INC,,5,0,0%,Technology,Virginia,TYSONS CORNER,microstrategy
1359,MICROVISION INC,,7,0,0%,,,REDMOND,microvision
1360,MID AMERICA APARTMENT COMMUNITIES INC,,12,2,17%,,,MEMPHIS,mid america apartmentmmunities
1361,Middleburg Financial Corporation,,11,2,18%,Financial Services,Virginia,Middleburg,middleburg financial
1362,MIDDLEBY CORP,,7,2,29%,,,ELGIN,middleby
1363,MIDDLEFIELD BANC CORP,,12,1,8%,,,MIDDLEFIELD,middlefield banc
1364,MIDDLESEX WATER CO,,8,2,25%,,,ISELIN,middlesex water
1365,Midland States Bancorp Inc.,,11,1,9%,,,EFFINGHAM,midland states bancorp
1366,MIDSOUTH BANCORP INC,,10,0,0%,Financial Services,Louisiana,LAFAYETTE,midsouth bancorp
1367,MidWestOne Financial Group Inc.,,12,2,17%,,,IOWA CITY,midwestone financial group
1368,Milacron Holdings Corp.,,9,0,0%,,,CINCINNATI,milacron holdings
1369,MILLER HERMAN INC,,12,5,42%,Industrials,Michigan,ZEELAND,miller herman
1370,MILLER INDUSTRIES INC /TN/,,5,0,0%,,,OOLTEWAH,miller industries tn
1371,MIMEDX GROUP INC.,,10,0,0%,,,MARIETTA,mimedx group
1372,MINDBODY Inc.,,8,3,38%,,,SAN LUIS OBISPO,mindbody
1373,MINERALS TECHNOLOGIES INC,,8,1,13%,,,NEW YORK CITY,minerals technologies
1374,Minerva Neurosciences Inc.,,8,2,25%,,,WALTHAM,minerva neurosciences
1375,Mistras Group Inc.,,7,0,0%,,,PRINCETON JUNCTION,mistras group
1376,MITEK SYSTEMS INC,,7,0,0%,,,SAN DIEGO,mitek systems
1377,MKS INSTRUMENTS INC,,9,2,22%,Technology,Massachusetts,ANDOVER,mks instruments
1378,MOBILE MINI INC,,9,2,22%,,,PHOENIX,mobile mini
1379,MOBILEIRON INC.,,8,1,13%,,,MOUNTAIN VIEW,mobileiron
1380,MODEL N INC.,,6,1,17%,Technology,California,REDWOOD CITY,model n
1381,MODINE MANUFACTURING CO,,9,2,22%,Consumer Cyclical,Wisconsin,RACINE,modine manufacturing
1382,ModusLink Global Solutions Inc.,,6,0,0%,Industrials,Massachusetts,Waltham,moduslink global solutions
1383,Moelis & Co,,8,1,13%,,,NEW YORK,moelis 
1384,MOHAWK INDUSTRIES INC,,9,1,11%,Consumer Cyclical,Georgia,CALHOUN,mohawk industries
1385,MOLINA HEALTHCARE INC,,10,1,10%,Healthcare,California,LONG BEACH,molina healthcare
1386,MOLSON COORS BREWING CO,,14,2,14%,Consumer Defensive,Colorado,DENVER,molsonors brewing
1387,Molycorp Inc,,8,0,0%,Basic Materials,Colorado,Greenwood Village,molycorp
1388,MOMENTA PHARMACEUTICALS INC,,9,1,11%,,,CAMBRIDGE,momenta pharmaceuticals
1389,Momentive Performance Materials Inc.,,11,0,0%,Industrials,New York,Waterford,momentive performance materials
1390,MONARCH CASINO & RESORT INC,,5,1,20%,,,RENO,monarch casino  resort
1391,Mondelez International Inc.,,13,4,31%,Consumer Defensive,Illinois,DEERFIELD,mondelez international
1392,MONEYGRAM INTERNATIONAL INC,,10,2,20%,Financial Services,Texas,DALLAS,moneygram international
1393,MONMOUTH REAL ESTATE INVESTMENT CORP,,11,2,18%,,,FREEHOLD,monmouth real estate investment
1394,Monogram Residential Trust Inc.,,7,1,14%,,,PLANO,monogram residential trust
1395,MONOLITHIC POWER SYSTEMS INC,,6,0,0%,Technology,California,SAN JOSE,monolithic power systems
1396,Monotype Imaging Holdings Inc.,,8,2,25%,Technology,Massachusetts,WOBURN,monotype imaging holdings
1397,MONRO MUFFLER BRAKE INC,,6,0,0%,,,ROCHESTER,monro muffler brake
1398,MONSANTO CO /NEW/,,13,3,23%,Basic Materials,Missouri,ST. LOUIS,monsanto new
1399,Monster Beverage Corp,,10,1,10%,Consumer Defensive,California,CORONA,monster beverage
1400,Monster Worldwide Inc.,,7,1,14%,Industrials,Massachusetts,Weston,monster worldwide
1401,MOODYS CORP /DE/,,9,2,22%,Industrials,New York,NEW YORK,moodys
1402,MOOG INC,,9,1,11%,Industrials,New York,EAST AURORA,moog
1403,MORGAN STANLEY,,14,2,14%,Financial Services,New York,NEW YORK,morgan stanley
1404,Morningstar Inc.,,10,3,30%,Industrials,Illinois,CHICAGO,morningstar
1405,MOSAIC CO,,12,2,17%,Basic Materials,Minnesota,PLYMOUTH,mosaic
1406,MOTORCAR PARTS AMERICA INC,,10,1,10%,,,TORRANCE,motorcar parts america
1407,Motorists Mutual Insurance Company,,11,3,27%,Financial Services,Ohio,Columbus,motorists mutual insurancempany
1408,Motorola Solutions Inc.,,9,2,22%,Technology,Illinois,CHICAGO,motorola solutions
1409,MOVADO GROUP INC,,9,1,11%,,,PARAMUS,movado group
1410,MRC GLOBAL INC.,,10,1,10%,Energy,Texas,HOUSTON,mrc global
1411,MSA Safety Inc,,8,2,25%,,,CRANBERRY TOWNSHIP,msa safety
1412,MSC INDUSTRIAL DIRECT CO INC,,9,1,11%,Industrials,New York,MELVILLE,msc industrial direct
1413,MSCI Inc.,,12,4,33%,Industrials,New York,NEW YORK,msci
1414,MSG NETWORKS INC.,,12,0,0%,,,NEW YORK,msg networks
1415,MTGE Investment Corp.,,5,1,20%,,,BETHESDA,mtge investment
1416,MTS SYSTEMS CORP,,8,2,25%,Technology,Minnesota,EDEN PRAIRIE,mts systems
1417,MUELLER INDUSTRIES INC,,7,0,0%,Industrials,Tennessee,MEMPHIS,mueller industries
1418,Mueller Water Products Inc.,,8,2,25%,,,ATLANTA,mueller water products
1419,MULESOFT INC,,7,1,14%,,,SAN FRANCISCO,mulesoft
1420,MULTI COLOR Corp,,7,0,0%,,,BATAVIA,multilor
1421,Multi-Fineline Electronix Inc.,,7,1,14%,Technology,California,Irvine,multifineline electronix
1422,MURPHY OIL CORP /DE,,12,2,17%,Energy,Arizona,EL DORADO,murphy oil de
1423,Murphy USA Inc.,,10,1,10%,Consumer Cyclical,Arkansas,EL DORADO,murphy usa
1424,Mutual of America Life Insurance Company,,16,3,19%,Financial Services,New York,New York,mutual of america life insurancempany
1425,Mutual of Omaha Insurance Company,,10,3,30%,Financial Services,Nebraska,Omaha,mutual of omaha insurancempany
1426,MUTUALFIRST FINANCIAL INC,,11,0,0%,,,MUNCIE,mutualfirst financial
1427,MYERS INDUSTRIES INC,,9,2,22%,,,AKRON,myers industries
1428,Mylan N.V.,,11,4,36%,Healthcare,,HATFIELD,mylan nv
1429,MyoKardia Inc,,9,3,33%,,,SOUTH SAN FRANCISCO,myokardia
1430,MYR GROUP INC.,,10,0,0%,,,ROLLING MEADOWS,myr group
1431,MYRIAD GENETICS INC,,7,1,14%,Healthcare,Utah,SALT LAKE CITY,myriad genetics
1432,NABORS INDUSTRIES LTD,,7,1,14%,Energy,,HAMILTON,nabors industries
1433,NACCO INDUSTRIES INC,,9,0,0%,Consumer Cyclical,Ohio,CLEVELAND,nacco industries
1434,NANOMETRICS INC,,7,1,14%,Technology,California,MILPITAS,nanometrics
1435,NanoString Technologies Inc,,7,0,0%,,,SEATTLE,nanostring technologies
1436,NantKwest Inc.,,7,0,0%,,,SAN DIEGO,nantkwest
1437,NAPCO SECURITY TECHNOLOGIES INC,,7,1,14%,,,AMITYVILLE,napco security technologies
1438,NASDAQ INC.,,9,3,33%,Financial Services,New York,NEW YORK,nasdaq
1439,Natera Inc.,,9,1,11%,,,SAN CARLOS,natera
1440,NATHANS FAMOUS INC,,8,0,0%,,,JERICHO,nathans famous
1441,National Bank Holdings Corp,,7,1,14%,,,GREENWOOD VILLAGE,national bank holdings
1442,NATIONAL BANKSHARES INC,,14,2,14%,Financial Services,Virginia,BLACKSBURG,national bankshares
1443,NATIONAL BEVERAGE CORP,,5,0,0%,Consumer Defensive,Florida,FORT LAUDERDALE,national beverage
1444,National CineMedia Inc.,,9,1,11%,,,CENTENNIAL,national cinemedia
1445,National Commerce Corp,,14,1,7%,,,BIRMINGHAM,nationalmmerce
1446,NATIONAL FUEL GAS CO,,10,1,10%,Energy,New York,WILLIAMSVILLE,national fuel gas
1447,National General Holdings Corp.,,7,1,14%,Financial Services,New York,NEW YORK,national general holdings
1448,National Grid PLC,,11,4,36%,Utilities,,London,national grid plc
1449,NATIONAL HEALTH INVESTORS INC,,4,0,0%,,,MURFREESBORO,national health investors
1450,NATIONAL HEALTHCARE CORP,,8,0,0%,,,MURFREESBORO,national healthcare
1451,NATIONAL INSTRUMENTS CORP,,8,1,13%,Technology,Texas,AUSTIN,national instruments
0,National Life Group,,10,3,30%,Financial Services,Vermont,Montpelier,national life group
1,NATIONAL OILWELL VARCO INC,,8,1,13%,Energy,Texas,HOUSTON,national oilwell varco
2,NATIONAL PRESTO INDUSTRIES INC,,5,1,20%,Industrials,Wisconsin,EAU CLAIRE,national presto industries
3,NATIONAL RESEARCH CORP,,6,2,33%,,,LINCOLN,national research
4,NATIONAL RETAIL PROPERTIES INC.,,9,1,11%,Real Estate,Florida,ORLANDO,national retail properties
5,National Storage Affiliates Trust,,8,0,0%,,,GREENWOOD VILLAGE,national storage affiliates trust
6,National Western Life Group Inc.,,9,2,22%,,,AUSTIN,national western life group
7,Nationstar Mortgage Holdings Inc.,,5,0,0%,Financial Services,Texas,COPPELL,nationstar mortgage holdings
8,Nationwide Mutual Insurance Company,,17,4,24%,Financial Services,Ohio,Columbus,nationwide mutual insurancempany
9,NATURAL GAS SERVICES GROUP INC,,5,0,0%,,,MIDLAND,natural gas services group
10,Natural Grocers by Vitamin Cottage Inc.,,7,2,29%,,,LAKEWOOD,natural grocers by vitaminttage
11,NATURAL HEALTH TRENDS CORP,,5,0,0%,,,ROLLING HILLS ESTATES,natural health trends
12,NATURES SUNSHINE PRODUCTS INC,,9,3,33%,,,LEHI,natures sunshine products
13,NATUS MEDICAL INC,,6,2,33%,Healthcare,California,PLEASANTON,natus medical
14,NAUTILUS INC.,,6,1,17%,,,VANCOUVER,nautilus
15,NAVIENT CORP,,11,6,55%,Financial Services,Delaware,WILMINGTON,navient
16,NAVIGANT CONSULTING INC,,8,2,25%,,,CHICAGO,navigantnsulting
17,NAVIGATORS GROUP INC,,10,3,30%,,,STAMFORD,navigators group
18,NAVIOS MARITIME ACQUISITION CORP,,6,3,50%,,,MONACO,navios maritime acquisition
19,NAVISTAR INTERNATIONAL CORP,,10,0,0%,Industrials,Illinois,LISLE,navistar international
20,NBT BANCORP INC,,13,1,8%,,,NORWICH,nbt bancorp
21,NCI BUILDING SYSTEMS INC,,11,1,9%,,,HOUSTON,nci building systems
22,NCI Inc.,,7,1,14%,Technology,Virginia,RESTON,nci
23,NCR CORP,,9,1,11%,Technology,Georgia,DULUTH,ncr
24,NCS Multistage Holdings Inc.,,9,0,0%,,,HOUSTON,ncs multistage holdings
25,Neenah Paper Inc,,8,1,13%,,,ALPHARETTA,neenah paper
26,Neff Corp,,6,0,0%,,,MIAMI,neff
27,Neiman Marcus Group LTD Inc.,,9,2,22%,Consumer Cyclical,Texas,Dallas,neiman marcus group
28,NEKTAR THERAPEUTICS,,8,0,0%,Healthcare,California,SAN FRANCISCO,nektar therapeutics
29,NELNET INC,,9,2,22%,,,LINCOLN,nelnet
30,NEOGEN CORP,,9,0,0%,,,LANSING,neogen
31,NEOGENOMICS INC,,9,2,22%,,,FORT MYERS,neogenomics
32,NEOPHOTONICS CORP,,7,0,0%,Technology,California,SAN JOSE,neophotonics
33,Neos Therapeutics Inc.,,7,1,14%,,,GRAND PRAIRIE,neos therapeutics
34,NetApp Inc.,,10,1,10%,Technology,California,SUNNYVALE,netapp
35,NETFLIX INC,,9,3,33%,Communication Services,California,LOS GATOS,netflix
36,NETGEAR INC,,9,3,33%,Technology,California,SAN JOSE,netgear
37,NETSCOUT SYSTEMS INC,,8,0,0%,Technology,Massachusetts,WESTFORD,netscout systems
38,Netsuite Inc.,,9,2,22%,Technology,California,San Mateo,netsuite
39,Neuralstem Inc.,,7,1,14%,Healthcare,Maryland,Germantown,neuralstem
40,NEUROCRINE BIOSCIENCES INC,,9,1,11%,Healthcare,California,SAN DIEGO,neurocrine biosciences
41,NEUSTAR INC,,10,3,30%,Communication Services,Virginia,STERLING,neustar
42,NEVRO CORP,,8,1,13%,,,REDWOOD CITY,nevro
43,New Home Co Inc.,,11,2,18%,,,ALISO VIEJO,new home
44,NEW JERSEY RESOURCES CORP,,11,2,18%,Utilities,New Jersey,WALL,new jersey resources
45,New Media Investment Group Inc.,,5,0,0%,,,NEW YORK,new media investment group
46,NEW RELIC INC,,7,1,14%,,,SAN FRANCISCO,new relic
47,New Residential Investment Corp.,,7,0,0%,,,NEW YORK,new residential investment
48,New Senior Investment Group Inc.,,7,2,29%,,,NEW YORK,new senior investment group
49,New Ulm Telecom Inc.,,7,2,29%,Communication Services,Minnesota,New Ulm,new ulm telecom
50,NEW YORK COMMUNITY BANCORP INC,,12,2,17%,Financial Services,New York,WESTBURY,new yorkmmunity bancorp
51,New York Life Insurance,,12,3,25%,Financial Services,New York,New York,new york life insurance
52,NEW YORK MORTGAGE TRUST INC,,6,0,0%,,,NEW YORK CITY,new york mortgage trust
53,NEW YORK TIMES CO,,13,2,15%,Consumer Cyclical,New York,NEW YORK,new york times
54,NEWELL BRANDS INC,,12,1,8%,Consumer Defensive,Georgia,HOBOKEN,newell brands
55,NEWFIELD EXPLORATION CO /DE/,,9,2,22%,Energy,Texas,THE WOODLANDS,newfield exploration
56,NEWLINK GENETICS CORP,,8,1,13%,,,AMES,newlink genetics
57,NEWMARKET CORP,,7,1,14%,Basic Materials,Virginia,RICHMOND,newmarket
58,Newmont Mining Corporation,,10,3,30%,Basic Materials,Colorado,GREENWOOD VILLAGE,newmont mining
59,NEWPARK RESOURCES INC,,6,0,0%,,,THE WOODLANDS,newpark resources
60,NEWS CORP,,11,3,27%,Consumer Cyclical,New York,NEW YORK,news
61,NewStar Financial Inc.,,7,1,14%,,,BOSTON,newstar financial
62,NEXEO SOLUTIONS INC.,,9,0,0%,Industrials,Texas,THE WOODLANDS,nexeo solutions
63,NexPoint Residential Trust Inc.,,5,0,0%,,,DALLAS,nexpoint residential trust
64,NEXSTAR MEDIA GROUP INC.,,9,1,11%,,,IRVING,nexstar media group
65,NEXTERA ENERGY INC,,12,3,25%,Utilities,Florida,JUNO BEACH,nextera energy
66,NGL Energy Partners LP,,10,0,0%,Energy,Oklahoma,Tulsa,ngl energy partners lp
67,NIC INC,,9,2,22%,,,OLATHE,nic
68,NICOLET BANKSHARES INC,,15,1,7%,,,GREEN BAY,nicolet bankshares
69,Nielsen Holdings plc,,9,2,22%,Industrials,New York,OXFORD,nielsen holdings plc
70,NII Holdings Inc.,,7,0,0%,Communication Services,Virginia,Reston,nii holdings
71,NIKE INC,,12,3,25%,Consumer Cyclical,Oregon,BEAVERTON,nike
72,NISOURCE INC/DE,,10,2,20%,Utilities,Indiana,MERRILLVILLE,nisourcede
73,NL INDUSTRIES INC,,6,1,17%,,,DALLAS,nl industries
74,NLV Financial Corporation,,10,3,30%,Financial Services,Vermont,Montpelier,nlv financial
75,NMI Holdings Inc.,,7,1,14%,,,EMERYVILLE,nmi holdings
76,NN INC,,7,1,14%,,,JOHNSON CITY,nn
77,Noble Corp plc,,8,2,25%,,,LONDON,noble plc
78,NOBLE ENERGY INC,,10,1,10%,Energy,Texas,HOUSTON,noble energy
79,Noblis,,9,4,44%,Industrials,Virginia,Falls Church,noblis
80,NOODLES & Co,,7,0,0%,,,BROOMFIELD,noodles 
81,NORDIC AMERICAN TANKERS LTD,,5,0,0%,,,HAMILTON,nordic american tankers
82,NORDSON CORP,,9,1,11%,Industrials,Ohio,WESTLAKE,nordson
83,NORDSTROM INC,,12,3,25%,Consumer Cyclical,Washington,SEATTLE,nordstrom
84,NORFOLK SOUTHERN CORP,,13,2,15%,Industrials,Virginia,NORFOLK,norfolk southern
85,Nortek Inc.,,10,0,0%,Basic Materials,Rhode Island,Providence,nortek
86,NORTHEAST BANCORP /ME/,,7,2,29%,,,LEWISTON,northeast bancorp me
87,NORTHERN TRUST CORP,,13,2,15%,Financial Services,Illinois,CHICAGO,northern trust
88,Northfield Bancorp Inc.,,10,2,20%,,,WOODBRIDGE,northfield bancorp
89,NORTHRIM BANCORP INC,,11,2,18%,,,ANCHORAGE,northrim bancorp
90,NORTHROP GRUMMAN CORP /DE/,,13,3,23%,Industrials,Virginia,FALLS CHURCH,northrop grumman
91,NORTHSTAR REALTY EUROPE CORP.,,7,2,29%,,,NEW YORK,northstar realty europe
92,Northwest Bancshares Inc.,,10,2,20%,Financial Services,Pennsylvania,WARREN,northwest bancshares
93,NORTHWEST NATURAL GAS CO,,10,3,30%,,,PORTLAND,northwest natural gas
94,NORTHWEST PIPE CO,,6,1,17%,,,VANCOUVER,northwest pipe
95,NORTHWESTERN CORP,,9,3,33%,Utilities,South Dakota,SIOUX FALLS,northwestern
96,Northwestern Mutual Life Insurance Company Inc,,15,2,13%,Financial Services,Wisconsin,Milwaukee,northwestern mutual life insurancempany
97,Norwegian Cruise Line Holdings Ltd.,,9,1,11%,Consumer Cyclical,Florida,MIAMI,norwegian cruise line holdings
98,NORWOOD FINANCIAL CORP,,8,1,13%,Financial Services,Pennsylvania,HONESDALE,norwood financial
99,NOVANTA INC,,7,0,0%,Technology,Massachusetts,BEDFORD,novanta
100,Novation Companies Inc,,5,0,0%,Real Estate,Missouri,Kansas City,novationmpanies
101,NOVAVAX INC,,7,1,14%,Healthcare,Maryland,GAITHERSBURG,novavax
102,NOVELION THERAPEUTICS INC.,,9,1,11%,,,VANCOUVER,novelion therapeutics
103,Novocure Ltd,,10,0,0%,,,SAINT HELIER,novocure
104,NOW Inc.,,9,1,11%,Energy,Texas,HOUSTON,now
105,NRG ENERGY INC.,,13,1,8%,Utilities,New Jersey,PRINCETON,nrg energy
106,NRG Yield Inc.,,7,1,14%,,,PRINCETON,nrg yield
107,NU SKIN ENTERPRISES INC,,9,1,11%,Consumer Defensive,Utah,PROVO,nu skin enterprises
108,Nuance Communications Inc.,,7,1,14%,Technology,Massachusetts,BURLINGTON,nuancemmunications
109,NUCOR CORP,,8,2,25%,Basic Materials,North Carolina,CHARLOTTE,nucor
110,NuStar Energy L.P.,,6,0,0%,Energy,Texas,San Antonio,nustar energy lp
111,Nutanix Inc.,,7,0,0%,,,SAN JOSE,nutanix
112,NUTRACEUTICAL INTERNATIONAL CORP,,6,0,0%,,,PARK CITY,nutraceutical international
113,NUTRI SYSTEM INC /DE/,,8,2,25%,,,FORT WASHINGTON,nutri system
114,NUVASIVE INC,,10,2,20%,Healthcare,California,SAN DIEGO,nuvasive
115,NV5 Global Inc.,,7,0,0%,,,HOLLYWOOD,nv5 global
116,NVE CORP /NEW/,,5,1,20%,,,EDEN PRAIRIE,nve new
117,NVIDIA CORP,,12,2,17%,Technology,California,SANTA CLARA,nvidia
118,NVR INC,,13,1,8%,Consumer Cyclical,Virginia,RESTON,nvr
119,NxStage Medical Inc.,,9,2,22%,Healthcare,Massachusetts,LAWRENCE,nxstage medical
120,O REILLY AUTOMOTIVE INC,,9,1,11%,Consumer Cyclical,Missouri,SPRINGFIELD,o reilly automotive
121,Oaktree Capital Group LLC,,13,1,8%,Financial Services,California,Los Angeles,oaktree capital group llc
122,Oasis Petroleum Inc.,,8,0,0%,,,HOUSTON,oasis petroleum
123,OBALON THERAPEUTICS INC,,8,2,25%,,,CARLSBAD,obalon therapeutics
124,OCCIDENTAL PETROLEUM CORP /DE/,,11,3,27%,Energy,Texas,HOUSTON,occidental petroleum
125,OCEANEERING INTERNATIONAL INC,,7,0,0%,Energy,Texas,HOUSTON,oceaneering international
126,OCEANFIRST FINANCIAL CORP,,12,2,17%,,,TOMS RIVER,oceanfirst financial
127,OCLARO INC.,,7,2,29%,,,SAN JOSE,oclaro
128,OCULAR THERAPEUTIX INC,,8,0,0%,,,BEDFORD,ocular therapeutix
129,OCWEN FINANCIAL CORP,,8,2,25%,Financial Services,Florida,WEST PALM BEACH,ocwen financial
130,OFFICE DEPOT INC,,8,3,38%,Consumer Cyclical,Florida,BOCA RATON,office depot
131,OFG BANCORP,,8,0,0%,,,SAN JUAN,ofg bancorp
132,OGE ENERGY CORP.,,9,2,22%,Utilities,Oklahoma,OKLAHOMA CITY,oge energy
133,OHIO VALLEY BANC CORP,,10,2,20%,,,GALLIPOLIS,ohio valley banc
134,OIL DRI CORP OF AMERICA,,9,0,0%,,,CHICAGO,oil dri of america
135,OIL STATES INTERNATIONAL INC,,8,1,13%,Energy,Texas,HOUSTON,oil states international
136,Okta Inc.,,7,1,14%,,,SAN FRANCISCO,okta
137,OLD DOMINION FREIGHT LINE INC/VA,,9,0,0%,Industrials,North Carolina,THOMASVILLE,old dominion freight lineva
138,OLD LINE BANCSHARES INC,,14,2,14%,Financial Services,Maryland,BOWIE,old line bancshares
139,OLD NATIONAL BANCORP /IN/,,14,3,21%,Financial Services,Indiana,EVANSVILLE,old national bancorp in
140,OLD POINT FINANCIAL CORP,,13,1,8%,Financial Services,Virginia,HAMPTON,old point financial
141,OLD REPUBLIC INTERNATIONAL CORP,,12,1,8%,Financial Services,Illinois,CHICAGO,old republic international
142,OLD SECOND BANCORP INC,,10,1,10%,,,AURORA,old second bancorp
143,OLIN CORP,,10,1,10%,Basic Materials,Missouri,CLAYTON,olin
144,Ollie's Bargain Outlet Holdings Inc.,,6,0,0%,,,HARRISBURG,ollies bargain outlet holdings
145,OLYMPIC STEEL INC,,8,0,0%,,,BEDFORD HEIGHTS,olympic steel
146,OM Asset Management plc,,9,2,22%,,,LONDON,om asset management plc
147,Omega Flex Inc.,,7,0,0%,,,EXTON,omega flex
148,OMEGA HEALTHCARE INVESTORS INC,,9,1,11%,Real Estate,Maryland,HUNT VALLEY,omega healthcare investors
149,OMEGA PROTEIN CORP,,8,1,13%,,,HOUSTON,omega protein
150,OMEROS CORP,,7,0,0%,,,SEATTLE,omeros
151,OMINTO INC.,,6,0,0%,,,BOCA RATON,ominto
152,OMNICELL Inc,,8,2,25%,Technology,California,MOUNTAIN VIEW,omnicell
